mean, median, std_dev
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.32040404040404, 4.0, 1.6815000032690384
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.320808080808081, 4.0, 1.685263326106202
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
4.325252525252525, 4.0, 1.6836914371175367
