mean, median, std_dev
59.094846900672145,44.0, 40.65192192405181
59.143762376237625,45.0, 41.15129204933514
56.56929292929293,43.0, 41.102757980961144
52.47373737373737,42.0, 38.890657614244596
51.91111111111111,42.0, 38.93254441359244
56.576788291074,44.0, 40.54580249357236
53.95232323232323,43.0, 40.0529264704218
51.26315789473684,42.0, 39.67508445951698
50.713778939507094,42.0, 39.47919499905473
49.2255776710135,42.0, 38.764432314074156
44.98329901624342,41.0, 37.45911148656171
47.99670171098742,42.0, 38.2414185269841
50.3290553334736,42.0, 39.56347478711767
47.24548158316175,41.0, 38.93359885384379
45.33006077606358,41.0, 37.47201528406661
48.12810750279955,41.0, 38.895342166114524
49.18728070175439,42.0, 38.436014447917266
46.58939802336029,41.0, 38.05107168675988
42.29955076370171,40.0, 36.45416240529334
46.006778661951074,42.0, 36.957442982887954
51.23925410872314,44.0, 39.05816307257936
55.21686223381138,44.0, 39.654816480720925
49.663368185212846,43.0, 39.137356146793174
49.382188200149365,42.0, 38.37739237945411
51.12392918332382,42.0, 38.24991292759402
49.42174303683738,42.0, 39.11581432943132
50.82951968666254,43.0, 38.55450971138012
54.37035040431267,44.0, 40.6686823793445
53.20440388236998,44.0, 39.655006861561546
49.78297940797941,43.0, 39.581283031411495
51.52275600505689,44.0, 39.74219767571952
51.258965999068465,44.0, 39.53822109815405
51.96941468716038,44.0, 39.49465556044027
47.531921618204805,42.0, 38.762632115476535
42.468514851485146,40.0, 38.29926838962427
36.82124542124542,20.0, 34.954851926080316
44.57482837528604,40.0, 38.199867905015445
36.58095238095238,24.0, 34.87027114455733
37.31941391941392,20.0, 36.03770649980933
37.424175824175826,21.0, 37.57536897035694
37.43168316831683,16.0, 36.86538780426735
37.19103180050332,10.0, 37.954106256819756
34.297734627831716,11.0, 34.89537909262899
31.686519790888724,9.0, 35.25737192902313
35.006262626262625,8.0, 38.68855912597623
26.96849816849817,7.0, 31.720054999912804
27.859350503919373,8.0, 32.63163598055428
30.05151515151515,9.0, 33.27809320864562
29.336633663366335,8.0, 32.05026906413766
27.980291153415454,8.0, 31.41114938760249
28.8091731537976,8.0, 32.53514476480017
27.03716216216216,8.0, 30.692386505005988
25.369118745332337,7.0, 30.92797787730196
22.716019417475728,7.0, 30.375042652136557
22.865790976584808,7.0, 30.243482974813563
30.797435897435896,8.0, 34.431053270598824
27.468859649122805,7.0, 32.994887888425616
32.82150858849888,8.0, 36.534057693955255
30.884428678118,8.0, 34.29289304392145
30.071248301300717,8.0, 34.024392143012626
29.085307017543858,7.0, 34.13741521336377
22.83985358041638,7.0, 30.406556180784026
30.10268857356236,8.0, 35.335370515964236
23.645847632120795,7.0, 29.997848516364222
25.122060470324747,7.0, 30.259454676550455
27.386930529787673,7.0, 33.36606534974473
36.18008756900819,28.0, 35.351170308460084
37.23583949007678,42.0, 32.110454321548055
36.83783371472158,42.0, 32.68744482456879
36.35941623971433,40.0, 32.9355388715356
31.26021684737281,8.0, 34.830747830736996
28.67390062821245,8.0, 32.700122317456966
23.062038073908173,7.0, 30.840970610320944
21.44232456140351,7.0, 28.6371309672427
20.96469298245614,7.0, 29.09390164731494
17.953786318920155,7.0, 24.875138500222803
20.008693662777397,7.0, 27.522797562056002
